Navn på KI-løsning;region;leverandør;prosjektfase;type bruk;overordnet funksjon;MU (CE-merket);KI-komponent;type KI;helseforetak;klinikk/avdeling;formål med tiltak;forventet gevinst;oppnådd gevinst;utfordringer/hemmere;kontaktperson;funksjon_forenklet;funksjon_detalj;hovedkategori;gevinst_tema;gevinst_status;barriere_tema
BoneView;HSØ;Gleamer;"i anskaffelse/implementering ; i drift/produksjon ; i pilot/utprøving";klinisk;Beslutningsstøtte diagnostikk MSK bruddeteksjon;ja;"frittstående ; ja";ML;"SiVHF ; OUSHF ; STHF ; Ahus ; SIHF ; VVHF ; SØHF";"Rad ; klinikk for radiologi og nukleærmedisin ; Medisinsk Serviceklinikk ; Røntgen ; Avdeling for bildediagnostikk, Medisinsk Serviceklinikk ; Bildediagnostikk";"NA ; Understøtte klinisk drift ; Raskere vurderinger ; -Frigjøre helsepersonell
- Redusere ventetid
- Øke kapasitet ; Få mer kunnskap om KI, redusere svartid, færre avbrytelser på vakt";"NA ; Spare tid, redusere variasjon ; Se flere pasienter ; -Frigjøre helsepersonell
- Redusere ventetid
- Øke kapasitet";"NA ; Ingen p.t. ; -Frigjøre helsepersonell
- Redusere ventetid
- Øke kapasitet (pilot) ; Delvis";"NA ; Løsningene krever plattformintegrasjon mot regionalt PACS hvor det er store implementeringsutfordringer (SykehusPartner estimert tidligst mars 2026) ; Takster
Pilot - adopsjon";"På OUS: Kyrre Eeg Emblem, KRN ; Gunnar Ringdal ; Else Marie Huuse-Røneid ; Line Tveiten, linetv@vestreviken.no ; Dag Ottar Sætre";bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;"Kapasitet og bemanning ; Kvalitetsforbedring ; Pasientfordel ; Tidsbesparelse / effektivitet";Delvis realisert;"Integrasjon og infrastruktur ; Strukturelle barrierer"
BoneView;HV;Gleamer;i drift/produksjon;klinisk;Beslutningsstøtte diagnostikk MSK bruddeteksjon;ja;frittstående;ML;"HBE; HFD; HST; HFO";Radiologi;"Etter å ha køyrt ein mini-konkurranse, inngår Helse Vest RHF no ein kontrakt med Philips som har KI-applikasjonen Boneview. Dette verktøyet skal bidra i det viktige i arbeidet med å redusere ventetida for pasientane. 

– Eg er glad for at vi i Helse Vest kan ta i bruk kunstig intelligens innan radiologi i alle sjukehusa våre. Dette har vore høgt prioritert frå områdestyret og digitaliseringsstyret hos oss, uttaler Bjørn Egil Vikse, fagdirektør og områdeeigar pasientbehandling, Helse Vest RHF.";tid- og ressurssparende;tid- og ressurssparende;;Lund-Furnes, Gerhard (gerhard.lund-furnes@helse-vest-ikt.no);bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;Tidsbesparelse / effektivitet;Realisert;
BoneXpert;HM;Visiana;i drift/produksjon;klinisk;Skjelettalder;ja;;ML;HMR;;Vurdere treffsikkerhet slutthøydeestimat v.hj.a. KI-verktøy, kvalitetssikring;;;;"kristian.kolnes@helse-mr.no; sigmund.ytre-hauge@helse-mr.no";bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;;;
BoneXpert;HN;Visiana;i drift/produksjon;klinisk;Skjelettalder;ja;;ML;;Bildediagnostikk;;Redusert tidsbruk;Redusert tidsbruk;;;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;Tidsbesparelse / effektivitet;Realisert;
BoneXpert;HSØ;Visiana;i drift/produksjon;klinisk;Skjelettalder;ja;;ML;;;Vurdere treffsikkerhet slutthøydeestimat v.hj.a. KI-verktøy, kvalitetssikring;;;;;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;;;
Braive;HSØ;Braive;i pilot/utprøving;administrasjon - pasientbehandling;tale til sammendrag;ja;frittstående;LLM;LDS;Flere klinikker;Redusere tiden klinikere bruker på journaloppgaver;;;;Rune Skogan;pasientdokumentasjon;tale til sammendrag;Pasientbehandling;;;
Bruk av KI som verktøy for økt effektivisering ved besvaring av spørsmål til Trygg Mammamedisin;HV;Helse Bergen;i pilot/utprøving;administrasjon - pasientbehandling;Bruk av KI som verktøy for økt effektivisering ved besvaring av spørsmål til Trygg Mammamedisin;nei;frittstående;LLM;HBE;RELIS Vest, Avdeling for medisinsk biokjemi og farmakologi;Prosjektet skal ta i bruk KI/Copilot Studio for å effektivisere svarprosessen i TMM, en tjeneste for gravide og ammende med spørsmål om legemiddelbruk. KI skal generere utkast til svar basert på tidligere spørsmål lagret i en database, noe som kan redusere svartid, styrke kvaliteten og frigjøre ressurser. Løsningen utvikles i samarbeid med Helse Vest IKT og skal etter prosjektet tas i bruk som fast verktøy i tjenesten.;tid- og ressurssparende;;;Kristine Heitmann (kristina.heitmann@helse-bergen.no);pasientinformasjon;;Pasientbehandling;Tidsbesparelse / effektivitet;;
CellaVision;HN;CellaVision;i drift/produksjon;klinisk;Analyse av perifert blodutstryk - celleklassifikasjon;ja;frittstående;ML;UNN;Laboratoriemedisin;;;;;;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;;;
CellaVision;HSØ;CellaVision;i drift/produksjon;klinisk;Sentrallab,Analyse av perifert blodutstryk - celleklassifikasjon;ja;frittstående;ML;SiVHF;;NA;;;;;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;;;
Cercare Perfusion;HSØ;Cercare Medical;i anskaffelse/implementering;klinisk;Radiologi;ja;ja;ML;OUSHF;klinikk for radiologi og nukleærmedisin;Understøtte klinisk drift;Spare tid, redusere variasjon;Ingen p.t.;Løsningene krever plattformintegrasjon mot regionalt PACS som ikke er implementert;På OUS: Kyrre Eeg Emblem, KRN;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;"Kvalitetsforbedring ; Tidsbesparelse / effektivitet";Ikke realisert enda;Integrasjon og infrastruktur
Chatboten Rosa;HV;Helse Vest IKT;i drift/produksjon;administrasjon - pasientbehandling;informasjonsverktøy om arvelig bryst- og eggstokkreft;nei;frittstående;LLM;HBE;;"Vi har utviklet en app basert på KI for å gi pasienter et informasjonsverktøy om arvelig bryst- og eggstokkreft, som de kan bruke hvor som helst og når som helst. KI er i dette prosjektet knyttet opp møt å forstå pasientenes spørsmål og plukke det rette, forutdefinerte svaret, fra en database. Dermed vil ikke appen være i stand til å formulere egne svar.
Svarene er også konstruert slik at bruker skal lett skjønne dersom Rosa plukker ut et feil svar. Brukerne kan også manøvrere seg via “klikking” i appen.";;;;Cathrine Bjorvatn (cathrine.bjorvatn@helse-bergen.no);pasientinformasjon;;Pasientbehandling;;;
ChestEye Quality;HSØ;Oxipit;"i anskaffelse/implementering ; i pilot/utprøving";klinisk;Beslutningsstøtte bildediagnostikk rtg thorax;ja;"knyttet til MU ; frittstående";ML;"SØHF ; SiVHF ; VVHF";"Bildediagnostikk ; Rad ; Avdeling for bildediagnostikk";"Gi beslutningstøtte til radiologi, kvalitetsforbedring ; NA ; -Frigjøre helsepersonell
- Redusere ventetid
- Triagering";"Økt kvalitet ; NA ; -Frigjøre helsepersonell
- Redusere ventetid
- Triagering";;"NA ; Finne rett usecase til ønsket gevinst - mange patologier som evt må valideres";"Dag Ottar Sætre ; Line Tveiten, linetv@vestreviken.no";bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;"Kvalitetsforbedring ; Pasientfordel ; Tidsbesparelse / effektivitet";;Kvalitet og validering
ChestLink;HSØ;Oxipit;"i anskaffelse/implementering ; i drift/produksjon";klinisk;Beslutningsstøtte bildediagnostikk rtg thorax;ja;"knyttet til MU ; frittstående";ML;"SØHF ; SiVHF ; VVHF";"Bildediagnostikk ; Rad ; Avdeling for bildediagnostikk";"Raskere presvar på thorax screening, (NAS Råde) ; NA ; -Frigjøre helsepersonell
- Redusere ventetid
- Øke kapasitet";"Økt kvalitet ; NA ; -Frigjøre helsepersonell
- Redusere ventetid
- Øke kapasitet";"NA ; Ikke enda - må utvikle bruken";;"Dag Ottar Sætre ; Line Tveiten, linetv@vestreviken.no";bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;"Kapasitet og bemanning ; Kvalitetsforbedring ; Pasientfordel ; Tidsbesparelse / effektivitet";Delvis realisert;
Contextflow ADVANCE Chest CT;HSØ;Contextflow;i anskaffelse/implementering;klinisk;Beslutningsstøtte bildediagnostikk CT thorax;ja;knyttet til MU;ML;"OUSHF ; SØHF";"klinikk for radiologi og nukleærmedisin ; Bildediagnostikk";"Understøtte klinisk drift ; Gi beslutningstøtte til radiologi, kvalitetsforbedring";"Spare tid, redusere variasjon ; Økt kvalitet";"Ingen p.t. ; NA";"Løsningene krever plattformintegrasjon mot regionalt PACS hvor det er store implementeringsutfordringer (ukjent leveransedato) ; NA";"På OUS: Kyrre Eeg Emblem, KRN ; Dag Ottar Sætre";bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;"Kvalitetsforbedring ; Tidsbesparelse / effektivitet";Ikke realisert enda;Integrasjon og infrastruktur
Corsano Cardiowatch 287;HSØ;Corsano Health;i pilot/utprøving;klinisk;Pasientmonitorering, NEWS måling;ja;knyttet til MU;ML;SØHF;Akuttmottak;kontinuerlig måling av vitalia, effektivisering av NEWS skåring, re-triagering;Økt effektivitet;Nei;Ingen;Bendik Zenker Aune;pasientmonitorering;;Pasientbehandling;Tidsbesparelse / effektivitet;Ikke realisert enda;
DIPS;HV;DIPS;i pilot/utprøving;administrasjon - pasientbehandling;tale til sammendrag;nei;frittstående;LLM;"HBE; HFD; HST; HFO";Nesten alle fagområder;NA;"Mindre kognitiv belastning for lege; Tidsinnsparing i dokumentasjonsarbeid";;;Grøtteland, Cecilie Sneberg (cecilie.sneberg.grotteland@sus.no);pasientdokumentasjon;tale til sammendrag;Pasientbehandling;"Kognitiv avlastning ; Tidsbesparelse / effektivitet";;
Deepinsight Hero;HSØ;Deepinsight;i drift/produksjon;drift av helse- og omsorgstjenester;operasjonsplanlegging;nei;frittstående;ML;LDS;Kirurgisk klinikk;Forbedre planlegging av operasjonsstuer;Bedre utnyttelse av stuene;;;Rune Skogan;operasjonsplanlegging og kapasitetsstyring;;Drift;Kapasitet og bemanning;;
Dragon medical one;HN;Omilon;i drift/produksjon;administrasjon - pasientbehandling;talegjenkjenning og transkripsjon;nei;frittstående;LLM;;;;;;;;pasientdokumentasjon;talegjenkjenning og transkripsjon;Pasientbehandling;;;
Dragon medical one;HSØ;Omilon;i drift/produksjon;administrasjon - pasientbehandling;talegjenkjenning og transkripsjon;nei;frittstående;LLM;"LDS ; SIHF";"Flere klinikker ; Alle";"Reduserer behovet for skrivetjenester og  tiden klinikere bruker på å skrive selv ; NA";;;;"Rune Skogan ; Gard Engebretsen";pasientdokumentasjon;talegjenkjenning og transkripsjon;Pasientbehandling;;;
Dragon medical one;HV;Omilon;i drift/produksjon;administrasjon - pasientbehandling;talegjenkjenning og transkripsjon;nei;frittstående;LLM;;;;;;;;pasientdokumentasjon;talegjenkjenning og transkripsjon;Pasientbehandling;;;
Ethos;HV;Varian;i drift/produksjon;klinisk;tilpasse behandlingen til pasientens anatomi i sanntid;ja;knyttet til MU;ML;HBE;Kreftklinikken;Online adaptiv stråleterapi med Ethos bruker KI-trente algoritmer til å tilpasse behandlingen til pasientens anatomi i sanntid, før hver behandling. Systemet genererer automatisk en ny behandlingsplan basert på dagens bilde, og gjør det mulig å justere for endringer som svulstbevegelse eller organskjevhet. KI gjør prosessen rask og presis, og gir bedre målretting og potensielt færre bivirkninger.;;;;John Alfred Brennsæter (john.alfred.brennseter@helse-bergen.no);stråleterapi og behandlingsplanlegging;;Pasientbehandling;;;
EyeArt AI Eye Screening System;HSØ;"Human Bytes ; Human bytes";i anskaffelse/implementering;klinisk;Diagnostikk, diabetisk retinopati;ja;frittstående;ML;"OUSHF ; SIHF ; SiVHF ; VVHF";"NA ; Klinikk medisinsk diagnostikk";"NA ; Vil minske synstap med KI-løsning - Helse Sør-Øst RHF ; - Triagering av øyebunnsbilder
-Tidlig deteksjon (diabetes/AMD)";"NA ; - Frigjøre helsepersonell (øyeleger)
- Øke kapasitet";"NA ; - Øke kapasitet- Raskere svar til pasient";"NA ; - Bildekvalitet- Integrasjon mot DIPS/PACS
- Finansieringsmodell";"NN ; HSØ";bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;Kapasitet og bemanning;Realisert;"Integrasjon og infrastruktur ; Strukturelle barrierer"
Generativ KI for utarbeiding av epikriser ved psykisk helsevern og tverrfaglig spesialisert rusbehandling;HV;Helse Stavanger;i pilot/utprøving;administrasjon - pasientbehandling;Generativ KI for utarbeiding av epikriser ved psykisk helsevern og tverrfaglig spesialisert rusbehandling;nei;frittstående;LLM;HST;Avd. rus og avhengighetsbehandling (ARA);"Framskrivinger viser økt press på tjenester i tverrfaglig spesialisert rusbehandling (TSB) og psykisk helsevern (PH) uten tilsvarende økning i arbeidskraft. For å sikre pasientsikkerhet og kapasitet kreves mer effektive helsetjenester. I TSB og PH går mye tid til dokumentasjon og administrative oppgaver som fortrenger pasientkontakt, undersøkelse og behandling av pasientene. Utarbeiding av epikriser i disse tjenestene er særlig tidkrevende da dette krever integrasjon av psykisk, psykososial og somatisk informasjon fra omfattende journaltekster knyttet til lange og komplekse behandlingsforløp. Klinikere rapporterer også dokumentasjonskravene som belastende. Prosjektet møter disse utfordringene ved å utarbeide og evaluere en prototype for å automatisk sammenfatte ustrukturert og strukturert journaldata til epikriser ved bruk av eksisterende klinisk spesialiserte og generelle generativ kunstig intelligens (KI)-modeller. Prosjektet er et samarbeid mellom Helse Stavanger Klinikk for psykisk helsevern for barn- unge og rusavhengige; Helse Førde Psykisk Helsevern, Helse Vest IKT og DIPS.";"Forbedret kvalitet; ressurssparende";;;Jens Hetland (jens.hetland@sus.no);pasientdokumentasjon;pasientjournal;Pasientbehandling;"Kvalitetsforbedring ; Tidsbesparelse / effektivitet";;
Genius Digital Diagnostics System;HM;Hologic, Montebello Diagnostics;i drift/produksjon;klinisk;beslutningsstøtte digital cytologi;ja;;ML;St Olavs;Patologi;"KI-løsningen brukes på digitaliserte cytologiske preparater (celleprøver fra livmorhals). KI-løsningen analyserer de digitale bildene, og velger ut representative celler eller grupper av celler. De cellene som KI-løsningen har plukket ut, presenteres for trent personell (bioingeniører/patologer) på skjerm. Det er personellet som stiller diagnose ut fra de utvalgte cellene. KI-løsningen gjør jobben med å «screene» gjennom hele det cytologiske preparatet for å finne representative celler, i stedet for at jobben må gjøres manuelt i mikroskop. Dette reduserer tiden det tar å undersøke et cytologisk preparat med omtrent 50% (gjennomsnitt). 
KI-løsningen, i motsetning til mennesker, blir ikke sløv og sliten, og vi forventer derfor at løsningen bedrer pasientsikkerheten.
Digitalisering av preparatene gjør det mye raskere å hente fram tidligere prøver fra pasienten (ved oppfølging).
Å se på de cytologiske preparatene på skjerm, i stedet for mikroskop, er bedre ergonomisk. Ved mikroskopet må man sitte veldig stille i lang tid. Foran en skjerm kan man variere sittestilling og bruke ulike pekeverktøy etter behov.
Personellet opplever at løsningen er brukervennlig, sikker og har forbedret arbeidsforholdene.";spare tid;;;Gudrun Hovstein;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;Tidsbesparelse / effektivitet;;
Genius Digital Diagnostics System;HV;Hologic, Montebello Diagnostics;i drift/produksjon;klinisk;Automastisert KI basert screening for cytologiske prøver (for øyeblikket livmorhalsprøver);ja;knyttet til MU;ML;HBE;Patologi;Vi innførte en maskin som screener/scanner livmorhalsprøver, der en AI basert algoritme velger ut celler som presenteres digitalt i et bildegalleri. Cellene vil så vurderes av bioingeniører og patologer for diagnose. Maskinene er knyttet til en virtuell server og bildene overføres automatisk til et bildegalleri som vil vises på egne skjermer (Review stations), noe ala digital patologi.;;;;Christiansen, Ranja (ranja.christiansen@helse-bergen.no);bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;;;
HR-Henry;HM;Compendia;i drift/produksjon;administrasjon - helsepersonell;Brukeren etterspør uttrekk av data fra intern kvalitetssikret database, og får raskt tilgang til relevant informasjon.;nei;frittstående;LLM;"HNT; HMR; St Olavs";;Frigjøre tid for ledere og HR-ansatte, og tydelige svar jamfør behov hos bruker.;Spare tid, utføres i snitt 3000 spørsmål pr mnd.;Dokumentasjon på spart tid er gjennomført.;;Alexander.Moen@helse-midt.no;administrativ støtte;;Drift;Tidsbesparelse / effektivitet;Realisert;
HeartFlow FFRCT;HN;Heartflow;i drift/produksjon;klinisk;Heartflow for CT;ja;;ML;UNN;Bildediagnostikk;;Redusert tidsbruk, bedre kvalitet på tjeneste;Redusert tidsbruk, bedre kvalitet på tjeneste;;;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;"Kvalitetsforbedring ; Tidsbesparelse / effektivitet";Realisert;
Hodetraume;HSØ;Ikke bestemt;i anskaffelse/implementering;klinisk;beslutningsstøøtte CT hodetraume;ja;ja;ML;OUSHF;klinikk for radiologi og nukleærmedisin;Understøtte klinisk drift;Spare tid, redusere variasjon;Ingen p.t.;I anbudsprosess ledet av Helse Vest;På OUS: Kyrre Eeg Emblem, KRN;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;"Kvalitetsforbedring ; Tidsbesparelse / effektivitet";Ikke realisert enda;Endring og samarbeid
IcoBrain MS;HSØ;Icometrics;i drift/produksjon;klinisk;Kvantifisere og måle ms-lesjoner;ja;frittstående;ML;VVHF;Avdeling for bildediagnostikk;"-Frigjøre helsepersonell
- Redusere ventetid
- Øke kapasitet";"-Frigjøre helsepersonell
- Redusere ventetid
- Øke kapasitet";Ikke enda - må utvikle bruken;Løsningen har tekniske utfordringer og ikke lenger den beste på markedet. Skal byttes ut med MD Brain i starten av 2026;Elisabeth Askimdal Hersvik <Elisabeth.Askimdal.Hersvik@vestreviken.no>;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;"Kapasitet og bemanning ; Pasientfordel ; Tidsbesparelse / effektivitet";Delvis realisert;"Integrasjon og infrastruktur ; Kvalitet og validering"
KI-basert søkemotor;HV;Helse Vest;i pilot/utprøving;administrasjon - helsepersonell;KI-basert søkemotor;nei;frittstående;LLM;"HBE; HFD; HST; HFO";Alle;"Utvikling av en KI-løsning som gir en samlet inngang til prosedyrer, retningslinjer, lovverk og dokumentasjon fra EK/EQS, personalhåndbok, metodebok, intranett og flere kilder. Løsningen skal tilby intelligent søk. Målet er å effektivisere informasjonsflyt, redusere tidsbruk og styrke etterlevelse av krav og regelverk.

Fokus i første omgang vil være en utprøving på EK ettersom vi her allerede har tilgang til API. Må deretter vurdere veien videre. Her vil KI-verktøy i Azure bli brukt.";tid- og ressurssparende;tid- og ressurssparende;;Monica Nordhus (monica.nordhus.sus.no);administrativ støtte;;Drift;Tidsbesparelse / effektivitet;Realisert;
KI-øye injeksjonsplanlegging;HSØ;ikke bestemt;i pilot/utprøving;klinisk;Beslutningsstøtte øye injesksjonsplanlegging;;frittstående;ML;SØHF;Øyeavdelingen,klinikk for kirurgi;Trene KI på OCT-scans slik at KI kan gi støtte ved øye injeksjoer på individnivå;Økt kvalitet;Nei;;Ayyad Ahmad Zartasht Khan;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;Kvalitetsforbedring;Ikke realisert enda;
KIKO - gastro;HN;ukjent;i pilot/utprøving;klinisk;Overvåking av pasient gastro;ja;;ML;UNN;Gastrokirurgi;Ressurs/personellbesparende. Bedre pasientsikkerhet. Økt trygghet for ansatt/pasient;;;;;pasientmonitorering;;Pasientbehandling;;;
Klang AI;HSØ;Klang AI;i pilot/utprøving;administrasjon - helsepersonell;KI møtereferater;nei;frittstående;LLM;SØHF;Administrasjon;Effektivisere skriving av møtenotater;Økt effektivitet og kvalitet;ja;Ingen;Bendik Zenker Aune;administrativ støtte;;Drift;"Kvalitetsforbedring ; Tidsbesparelse / effektivitet";Realisert;
Kontrolltårn;HSØ;KPMG;i drift/produksjon;drift av helse- og omsorgstjenester;operasjonsplanlegging;nei;frittstående;ML;OUSHF;;Algoritmisk planlegging av operasjonsprogrammet, Bedre utnyttelse av kirurgiske res;150mnok pr år i full drift;I startfasen;Integrasjon i infrastrukturen;Odd Arild Lehne;operasjonsplanlegging og kapasitetsstyring;;Drift;;Ikke realisert enda;Integrasjon og infrastruktur
Kunstig intelligens i patologi;HM;ikke bestemt;i anskaffelse/implementering;klinisk;"Løsningen gir automatisk deteksjon av kreft, Gleason gradering og støtte til patologens diagnostiske vurdering. Den integreres i digital patologi løsningen og brukes som beslutningsstøtte.
";ja;knyttet til digital patologi, integrert med eksisterende plattform;ML;St Olavs;Avdeling for patologi;"Redusert tidsbruk per prøve
Kortere svartider
Økt diagnostisk kvalitet og redusert variasjon
Redusert behov for tilleggsanalyser
Mer bærekraftig arbeidsflyt";;;;Mari Jebens;bildeanalyse, diagnostikk og beslutningsstøtte;;Pasientbehandling;;;
